 BlockNumber     Modality    Direction        Onset          End     Duration    SiriOnset SiriDuration  SiriCorrect     SiriSubj 
           1     auditory          180     5.002844    18.253158    13.250314    18.776882     4.999672            1            2 
           2       visual            0    29.782717    44.247634    14.464917    44.758904     4.999924            3            0 
           3       visual          270    55.760638    69.275638    13.514999    69.786205     4.999557            3            0 
           4     auditory           90    80.787473    93.968569    13.181096    94.478114     4.999551            1            0 
           5       visual          180   105.505824   118.997036    13.491212   119.504955     4.999534            4            0 
           6     auditory          270   130.506346   143.706279    13.199932   144.214652     4.999505            3            0 
           7       visual           90   155.215893   168.701328    13.485435   169.208667     4.999542            3            0 
           8     auditory            0   180.209948   193.394768    13.184821   193.902735     4.999533            1            0 
