 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1     auditory          180                  0         4.00      5.00844      6.22289      1.21445 
           1            2     auditory          180                  0         4.00      6.34487      7.55758      1.21271 
           1            3     auditory          180                  0         4.00      7.67482      8.87577      1.20095 
           1            4     auditory          180                  1         4.00      8.99282     10.19382      1.20101 
           1            5     auditory          180                  0         4.00     10.33781     11.54529      1.20748 
           1            6     auditory          180                  0         4.00     11.66245     12.86347      1.20101 
           1            7     auditory          180                  0         4.00     12.98008     14.18149      1.20140 
           1            8     auditory          180                  0         4.00     14.29842     15.49964      1.20122 
           1            9     auditory          180                  1         4.00     15.61645     16.81784      1.20138 
           1           10     auditory          180                  0         4.00     16.93462     18.13606      1.20145 
           2            1       visual            0                  0         4.00     29.78283     32.25208      2.46925 
           2            2       visual            0                  0         4.00     32.36805     33.58675      1.21871 
           2            3       visual            0                  1         4.00     33.70305     34.90434      1.20129 
           2            4       visual            0                  0         4.00     35.02135     36.22201      1.20066 
           2            5       visual            0                  0         4.00     36.33955     37.54061      1.20107 
           2            6       visual            0                  1         4.00     37.65738     38.85812      1.20073 
           2            7       visual            0                  0         4.00     38.97563     40.17676      1.20113 
           2            8       visual            0                  0         4.00     40.29371     41.49437      1.20066 
           2            9       visual            0                  0         4.00     41.61172     42.81259      1.20086 
           2           10       visual            0                  0         4.00     42.92987     44.13074      1.20087 
           3            1       visual          270                  0         4.00     55.76074     57.29479      1.53406 
           3            2       visual          270                  0         4.00     57.41200     58.61208      1.20007 
           3            3       visual          270                  0         4.00     58.72933     59.93135      1.20202 
           3            4       visual          270                  1         4.00     60.04885     61.24858      1.19973 
           3            5       visual          270                  0         4.00     61.36571     62.56794      1.20223 
           3            6       visual          270                  0         4.00     62.68504     63.88577      1.20072 
           3            7       visual          270                  0         4.00     64.00329     65.20439      1.20110 
           3            8       visual          270                  0         4.00     65.32131     66.52214      1.20084 
           3            9       visual          270                  1         4.00     66.63943     67.84014      1.20071 
           3           10       visual          270                  0         4.00     67.95751     69.15828      1.20077 
           4            1     auditory           90                  0         4.00     80.78759     81.98916      1.20157 
           4            2     auditory           90                  0         4.00     82.10637     83.30743      1.20107 
           4            3     auditory           90                  0         4.00     83.42453     84.62599      1.20146 
           4            4     auditory           90                  1         4.00     84.74280     85.94329      1.20050 
           4            5     auditory           90                  0         4.00     86.06008     87.26217      1.20209 
           4            6     auditory           90                  0         4.00     87.37896     88.58009      1.20114 
           4            7     auditory           90                  0         4.00     88.69699     89.89827      1.20127 
           4            8     auditory           90                  0         4.00     90.01507     91.21651      1.20144 
           4            9     auditory           90                  1         4.00     91.33324     92.53440      1.20117 
           4           10     auditory           90                  0         4.00     92.65136     93.85240      1.20104 
           5            1       visual          180                  0         4.00    105.50600    107.01720      1.51120 
           5            2       visual          180                  0         4.00    107.13376    108.33388      1.20012 
           5            3       visual          180                  0         4.00    108.45082    109.65294      1.20212 
           5            4       visual          180                  1         4.00    109.77010    110.97079      1.20069 
           5            5       visual          180                  0         4.00    111.08846    112.28913      1.20067 
           5            6       visual          180                  0         4.00    112.40662    113.60707      1.20044 
           5            7       visual          180                  1         4.00    113.72453    114.92511      1.20058 
           5            8       visual          180                  0         4.00    115.04297    116.24344      1.20047 
           5            9       visual          180                  0         4.00    116.36084    117.56161      1.20078 
           5           10       visual          180                  0         4.00    117.67879    118.88005      1.20127 
           6            1     auditory          270                  0         4.00    130.50649    131.71054      1.20404 
           6            2     auditory          270                  0         4.00    131.82744    133.02895      1.20151 
           6            3     auditory          270                  1         4.00    133.14601    134.34740      1.20139 
           6            4     auditory          270                  0         4.00    134.46406    135.66532      1.20126 
           6            5     auditory          270                  0         4.00    135.78223    136.98347      1.20124 
           6            6     auditory          270                  1         4.00    137.10026    138.30207      1.20181 
           6            7     auditory          270                  0         4.00    138.41847    139.61969      1.20122 
           6            8     auditory          270                  0         4.00    139.73652    140.93793      1.20141 
           6            9     auditory          270                  0         4.00    141.05467    142.25595      1.20128 
           6           10     auditory          270                  0         4.00    142.37281    143.58906      1.21625 
           7            1       visual           90                  0         4.00    155.21615    156.72100      1.50486 
           7            2       visual           90                  0         4.00    156.83823    158.03779      1.19957 
           7            3       visual           90                  0         4.00    158.15600    159.35758      1.20158 
           7            4       visual           90                  1         4.00    159.47480    160.67578      1.20098 
           7            5       visual           90                  0         4.00    160.79299    161.99392      1.20093 
           7            6       visual           90                  1         4.00    162.11125    163.31204      1.20079 
           7            7       visual           90                  0         4.00    163.42911    164.63017      1.20106 
           7            8       visual           90                  0         4.00    164.74730    165.94820      1.20089 
           7            9       visual           90                  0         4.00    166.06544    167.26643      1.20099 
           7           10       visual           90                  0         4.00    167.38343    168.58473      1.20130 
           8            1     auditory            0                  0         4.00    180.21009    181.41518      1.20508 
           8            2     auditory            0                  1         4.00    181.53204    182.73377      1.20173 
           8            3     auditory            0                  0         4.00    182.85017    184.05205      1.20188 
           8            4     auditory            0                  0         4.00    184.16858    185.37003      1.20144 
           8            5     auditory            0                  0         4.00    185.48689    186.68811      1.20122 
           8            6     auditory            0                  1         4.00    186.80485    188.00625      1.20140 
           8            7     auditory            0                  0         4.00    188.12313    189.32447      1.20134 
           8            8     auditory            0                  0         4.00    189.44132    190.64254      1.20122 
           8            9     auditory            0                  0         4.00    190.75965    191.96034      1.20070 
           8           10     auditory            0                  0         4.00    192.07741    193.27850      1.20109 
