 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual            0                  0         4.00      5.00727      6.74210      1.73483 
           1            2       visual            0                  1         4.00      6.86331      8.07660      1.21329 
           1            3       visual            0                  0         4.00      8.19369      9.37757      1.18388 
           1            4       visual            0                  0         4.00      9.49487     10.67905      1.18418 
           1            5       visual            0                  0         4.00     10.82200     12.01398      1.19199 
           1            6       visual            0                  0         4.00     12.13059     13.31510      1.18451 
           1            7       visual            0                  0         4.00     13.43233     14.61634      1.18401 
           1            8       visual            0                  0         4.00     14.73385     15.93464      1.20079 
           1            9       visual            0                  0         4.00     16.05193     17.23605      1.18412 
           1           10       visual            0                  0         4.00     17.35359     18.53745      1.18386 
           2            1       visual          270                  0         4.00     30.18276     31.66825      1.48549 
           2            2       visual          270                  0         4.00     31.78559     32.97032      1.18473 
           2            3       visual          270                  0         4.00     33.08739     34.27123      1.18383 
           2            4       visual          270                  0         4.00     34.38871     35.57288      1.18417 
           2            5       visual          270                  0         4.00     35.69009     36.87414      1.18405 
           2            6       visual          270                  0         4.00     36.99158     38.17563      1.18404 
           2            7       visual          270                  0         4.00     38.29300     39.47720      1.18420 
           2            8       visual          270                  1         4.00     39.59458     40.77845      1.18387 
           2            9       visual          270                  0         4.00     40.89596     42.07994      1.18398 
           2           10       visual          270                  0         4.00     42.19742     43.38133      1.18391 
           3            1     auditory          180                  0         4.00     55.02491     56.24126      1.21634 
           3            2     auditory          180                  0         4.00     56.37512     57.60555      1.23043 
           3            3     auditory          180                  0         4.00     57.73960     58.96375      1.22415 
           3            4     auditory          180                  1         4.00     59.09775     60.32465      1.22690 
           3            5     auditory          180                  0         4.00     60.45870     61.68786      1.22916 
           3            6     auditory          180                  0         4.00     61.82180     63.04600      1.22420 
           3            7     auditory          180                  0         4.00     63.17993     64.40344      1.22351 
           3            8     auditory          180                  0         4.00     64.53730     65.76182      1.22452 
           3            9     auditory          180                  0         4.00     65.89583     67.12107      1.22524 
           3           10     auditory          180                  0         4.00     67.25524     68.47995      1.22471 
           4            1     auditory           90                  0         4.00     80.12733     81.33684      1.20951 
           4            2     auditory           90                  0         4.00     81.47104     82.69568      1.22464 
           4            3     auditory           90                  0         4.00     82.82978     84.05147      1.22169 
           4            4     auditory           90                  1         4.00     84.18521     85.40981      1.22460 
           4            5     auditory           90                  0         4.00     85.54410     86.76984      1.22574 
           4            6     auditory           90                  0         4.00     86.90413     88.12722      1.22308 
           4            7     auditory           90                  0         4.00     88.26113     89.48566      1.22453 
           4            8     auditory           90                  0         4.00     89.61964     90.84429      1.22465 
           4            9     auditory           90                  0         4.00     90.97847     92.20179      1.22332 
           4           10     auditory           90                  0         4.00     92.33588     93.55917      1.22329 
           5            1     auditory            0                  0         4.00    105.23077    106.44651      1.21574 
           5            2     auditory            0                  0         4.00    106.58089    107.80542      1.22454 
           5            3     auditory            0                  0         4.00    107.93954    109.16638      1.22684 
           5            4     auditory            0                  1         4.00    109.30061    110.52465      1.22404 
           5            5     auditory            0                  0         4.00    110.65897    111.88473      1.22576 
           5            6     auditory            0                  0         4.00    112.01895    113.24240      1.22345 
           5            7     auditory            0                  0         4.00    113.37634    114.59964      1.22330 
           5            8     auditory            0                  0         4.00    114.73364    115.95671      1.22306 
           5            9     auditory            0                  0         4.00    116.09044    117.31438      1.22395 
           5           10     auditory            0                  0         4.00    117.44792    118.67151      1.22359 
           6            1       visual           90                  0         4.00    130.31694    133.03174      2.71480 
           6            2       visual           90                  1         4.00    133.16541    135.57644      2.41104 
           6            3       visual           90                  0         4.00    135.71083    138.12306      2.41223 
           6            4       visual           90                  0         4.00    138.25754    140.66952      2.41198 
           6            5       visual           90                  0         4.00    140.80367    143.21348      2.40981 
           6            6       visual           90                  0         4.00    143.34757    145.75840      2.41083 
           6            7       visual           90                  0         4.00    145.89270    148.30405      2.41135 
           6            8       visual           90                  0         4.00    148.43845    150.84761      2.40916 
           6            9       visual           90                  0         4.00    150.98196    153.39303      2.41107 
           6           10       visual           90                  0         4.00    153.52750    155.93835      2.41086 
           7            1       visual          180                  0         4.00    167.58123    170.28943      2.70820 
           7            2       visual          180                  0         4.00    170.42347    172.83485      2.41139 
           7            3       visual          180                  0         4.00    172.96925    175.38068      2.41143 
           7            4       visual          180                  0         4.00    175.51509    177.92457      2.40947 
           7            5       visual          180                  0         4.00    178.05901    180.46912      2.41011 
           7            6       visual          180                  1         4.00    180.60364    183.01567      2.41203 
           7            7       visual          180                  0         4.00    183.15005    185.56091      2.41087 
           7            8       visual          180                  0         4.00    185.69529    188.10652      2.41123 
           7            9       visual          180                  0         4.00    188.24067    190.65106      2.41039 
           7           10       visual          180                  0         4.00    190.78524    193.19530      2.41005 
           8            1     auditory          270                  0         4.00    204.84021    206.05651      1.21629 
           8            2     auditory          270                  0         4.00    206.19059    207.41679      1.22620 
           8            3     auditory          270                  0         4.00    207.55078    208.77442      1.22363 
           8            4     auditory          270                  0         4.00    208.90847    210.13269      1.22422 
           8            5     auditory          270                  0         4.00    210.26667    211.49213      1.22546 
           8            6     auditory          270                  0         4.00    211.62610    212.84932      1.22322 
           8            7     auditory          270                  1         4.00    212.98305    214.20650      1.22345 
           8            8     auditory          270                  0         4.00    214.34043    215.56558      1.22515 
           8            9     auditory          270                  0         4.00    215.69954    216.92386      1.22433 
           8           10     auditory          270                  0         4.00    217.05773    218.28200      1.22427 
