 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual            0                  0         4.00      5.00750      6.25944      1.25194 
           1            2       visual            0                  1         4.00      6.37555      7.59128      1.21573 
           1            3       visual            0                  0         4.00      7.70829      8.92410      1.21581 
           1            4       visual            0                  0         4.00      9.04107     10.25691      1.21584 
           1            5       visual            0                  0         4.00     10.37381     11.58983      1.21602 
           1            6       visual            0                  0         4.00     11.70663     12.92256      1.21592 
           1            7       visual            0                  0         4.00     13.03938     14.25535      1.21597 
           1            8       visual            0                  0         4.00     14.37226     15.58815      1.21589 
           1            9       visual            0                  0         4.00     15.70506     16.92095      1.21589 
           1           10       visual            0                  0         4.00     17.03781     18.25375      1.21594 
