 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual            0                  0         4.00      5.00035      6.21089      1.21054 
           1            2       visual            0                  0         4.00      6.32776      7.54378      1.21602 
           1            3       visual            0                  0         4.00      7.66064      8.87653      1.21590 
           1            4       visual            0                  0         4.00      8.99345     10.20931      1.21586 
           1            5       visual            0                  0         4.00     10.32631     11.54212      1.21580 
           1            6       visual            0                  1         4.00     11.65900     12.87498      1.21598 
           1            7       visual            0                  0         4.00     12.99184     14.20781      1.21596 
           1            8       visual            0                  0         4.00     14.32462     15.54063      1.21601 
           1            9       visual            0                  0         4.00     15.65743     16.87338      1.21595 
           1           10       visual            0                  0         4.00     16.99022     18.20618      1.21596 
