 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual            0                  0         4.00      5.00874      6.25501      1.24627 
           1            2       visual            0                  0         4.00      6.37120      7.58681      1.21561 
           1            3       visual            0                  1         4.00      7.70377      8.91963      1.21586 
           1            4       visual            0                  0         4.00      9.03655     10.25246      1.21590 
           1            5       visual            0                  0         4.00     10.36946     11.58525      1.21578 
           1            6       visual            0                  1         4.00     11.70211     12.91807      1.21596 
           1            7       visual            0                  0         4.00     13.03505     14.25087      1.21581 
           1            8       visual            0                  0         4.00     14.36782     15.58366      1.21584 
           1            9       visual            0                  0         4.00     15.70066     16.91664      1.21598 
           1           10       visual            0                  0         4.00     17.03346     18.24937      1.21591 
