 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual            0                  0         4.00      5.00039      6.21105      1.21066 
           1            2       visual            0                  0         4.00      6.32795      7.54378      1.21583 
           1            3       visual            0                  0         4.00      7.66069      8.87662      1.21593 
           1            4       visual            0                  1         4.00      8.99346     10.20938      1.21592 
           1            5       visual            0                  0         4.00     10.32640     11.54218      1.21578 
           1            6       visual            0                  0         4.00     11.65910     12.87502      1.21592 
           1            7       visual            0                  0         4.00     12.99189     14.20783      1.21594 
           1            8       visual            0                  0         4.00     14.32482     15.54068      1.21586 
           1            9       visual            0                  0         4.00     15.65760     16.87356      1.21596 
           1           10       visual            0                  0         4.00     16.99033     18.20626      1.21593 
