 BlockNumber  EventNumber     Modality    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1       visual            0                  0         4.00      5.00034      6.21084      1.21050 
           1            2       visual            0                  0         4.00      6.32796      7.54365      1.21569 
           1            3       visual            0                  0         4.00      7.66065      8.87649      1.21584 
           1            4       visual            0                  1         4.00      8.99343     10.20930      1.21587 
           1            5       visual            0                  0         4.00     10.32631     11.54220      1.21589 
           1            6       visual            0                  0         4.00     11.65907     12.87501      1.21593 
           1            7       visual            0                  1         4.00     12.99189     14.20777      1.21588 
           1            8       visual            0                  0         4.00     14.32459     15.54062      1.21602 
           1            9       visual            0                  0         4.00     15.65746     16.87335      1.21589 
           1           10       visual            0                  0         4.00     16.99037     18.20632      1.21596 
